UID,HPSA Name,Designation Type,HPSA Score,Primary State Abbreviation,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,Withdrawn Date,County Name,Metropolitan Indicator,HPSA Population Type,HPSA Degree of Shortage,# of FTEs Short,HPSA Designation Population,% of Population Below 100% Poverty,Street Address,CITY,ZIP Code,Primary HHS Region Name,Rural Status,Longitude,Latitude
6649996402,Pohnpei Community Health Center,Federally Qualified Health Center,18,FM,Designated,1/7/1984,4/13/2015,,Pohnpei State,Non-Metropolitan,,,0,,,Sekirinpeilapalap Street,Kolonia,96941,Region IX,Rural,158.2167,6.84999999
6159991503,Oahu Community Correctional Complex,Correctional Facility,0,HI,Withdrawn,3/12/1984,12/31/1996,12/31/1996,,Metropolitan,,1.3,1.3,,,,,,Region IX,Unknown,-157.9436319,21.43954257
6299992910,Renz Correctional Center,Correctional Facility,0,MO,Withdrawn,6/22/1984,10/2/1995,10/2/1995,,Non-Metropolitan,,,0,,,,,,Region VII,Unknown,-92.47774661,38.36798274
6299992909,Missouri Training Center for Men,Correctional Facility,0,MO,Withdrawn,6/22/1984,10/2/1995,10/2/1995,,Non-Metropolitan,,,0,,,,,,Region VII,Unknown,-92.47774661,38.36798274
6299992905,Missouri Eastern Correctional Center,Correctional Facility,0,MO,Withdrawn,6/22/1984,10/2/1995,10/2/1995,,Metropolitan,,,0,,,,,,Region VII,Unknown,-92.47774661,38.36798274
6299992904,Missouri State Pen,Correctional Facility,0,MO,Withdrawn,6/22/1984,10/2/1995,10/2/1995,,Non-Metropolitan,,,0,,,,,,Region VII,Unknown,-92.47774661,38.36798274
6299992903,Centrala Missouri Correctional Center,Correctional Facility,0,MO,Withdrawn,6/22/1984,10/2/1995,10/2/1995,,Non-Metropolitan,,,0,,,,,,Region VII,Unknown,-92.47774661,38.36798274
6299992902,Algoa Corrections Center,Correctional Facility,0,MO,Withdrawn,6/22/1984,10/2/1995,10/2/1995,,Non-Metropolitan,,,0,,,,,,Region VII,Unknown,-92.47774661,38.36798274
60699906B8,"Community Health Systems, Inc.",Federally Qualified Health Center,15,CA,Designated,1/6/1985,11/27/2014,,Riverside County,Metropolitan,,,0,,,8151 Arlington Ave Ste U-V,Riverside,92503-0436,Region IX,Non-Rural,-117.4598407,33.94639139
6519995186,"Southern Dominion Health Systems, Inc.",Federally Qualified Health Center,18,VA,Designated,1/7/1985,7/2/2013,,Lunenburg County,Non-Metropolitan,,,0,,,1508 K V Rd,Victoria,23974-2624,Region III,Rural,-78.19974969,36.97106101
63799937B3,Bertie County Rural Health Association,Federally Qualified Health Center,0,NC,Designated,1/19/1985,1/19/1985,,Bertie County,Non-Metropolitan,,,0,,,104 Rhodes Ave,Windsor,27983-9656,Region IV,Rural,-76.93023135,35.98842599
6289992858,"Family Health Center, Inc.",Federally Qualified Health Center,0,MS,Designated,1/10/1986,5/13/2014,,Jones County,Non-Metropolitan,,,0,,,117 S 11th Ave,Laurel,39440-4312,Region IV,Rural,-89.13993541,31.68932285
6549995426,Huttonsville Correctional Center,Correctional Facility,0,WV,Withdrawn,2/25/1986,10/2/1995,10/2/1995,,Non-Metropolitan,,,0,,,,,,Region III,Unknown,-80.61361664,38.64241493
60699906L5,Shingletown Medical Center,Federally Qualified Health Center,24,CA,Designated,5/30/1986,4/28/2017,,Shasta County,Non-Metropolitan,,,0,,,31292 Alpine Meadows Rd,Shingletown,96088-9462,Region IX,Non-Rural,-121.885813,40.49139987
6359993514,Central New Mexico Correctional Facility,Correctional Facility,0,NM,Withdrawn,11/15/1989,10/2/1995,10/2/1995,,Non-Metropolitan,,,0,,,,,,Region VI,Unknown,-106.1084038,34.42132653
6.37E+16,Finger Lakes Migrant Health Proj.,Federally Qualified Health Center,15,NY,Designated,1/6/1991,4/13/2012,,Yates County,Non-Metropolitan,,,0,,,14 Maiden Ln,Penn Yan,14527-1208,Region II,Rural,-77.05527162,42.66169965
617999175L,City of Chicago Department of Health - Lower Wests,Federally Qualified Health Center Look A Like,0,IL,Designated,8/8/1991,5/15/2015,,Cook County,Metropolitan,,,0,,,2001 S California Ave,Chicago,60608-2486,Region V,Non-Rural,-87.69549423,41.85443909
6299992914,Farmington Correctional Complex,Correctional Facility,0,MO,Withdrawn,9/6/1991,12/31/1996,12/31/1996,,Non-Metropolitan,,0.7,0.7,,,,,,Region VII,Unknown,-92.47774661,38.36798274
6269992630,Jackson Region Clin. Complex,Correctional Facility,0,MI,Withdrawn,2/6/1992,5/30/1997,5/30/1997,,Metropolitan,,0.1,0.1,,,,,,Region V,Unknown,-84.19669749,44.12519983
6429994257,State Correctional Institue - Frackville,Correctional Facility,0,PA,Withdrawn,2/11/1992,5/30/1997,5/30/1997,,Non-Metropolitan,,0.1,0.1,,,,,,Region III,Unknown,-77.83875077,40.89651165
6495823889,Utah State Prison - Draper,Correctional Facility,3,UT,Designated,6/28/1993,12/28/2018,,Salt Lake County,Unknown,,3,0.91,7350,,14425 S Bitterbrush Ln,Draper,84020-9501,Region VIII,Non-Rural,-111.89914,40.48813418
6287578022,Mississippi State Penitentiary (MSP),Correctional Facility,15,MS,Designated,7/29/1993,8/2/2018,,Sunflower County,Unknown,,6,1.84,3366,,Highway 49 W,Drew,38737,Region IV,Rural,-90.52349534,33.81122232
6538187702,Washington Corrections Center,Correctional Facility,15,WA,Designated,2/16/1994,10/27/2017,,Mason County,Unknown,,6,3.66,8641,,2321 W Dayton Airport Rd,Shelton,98584-6319,Region X,Rural,-123.191232,47.242925
6539995329,WA Correctional Center for Women,Correctional Facility,12,WA,Withdrawn,2/16/1994,6/27/2013,6/27/2013,Pierce County,Non-Metropolitan,,,1.54,,,9601 Bujacich Rd NW,Gig Harbor,98332-8300,Region X,Non-Rural,-122.6145502,47.34563945
6533849907,CF-Washington State Penitentiary,Correctional Facility,3,WA,Designated,2/16/1994,12/28/2017,,Walla Walla County,Unknown,,3,0.27,4607,,1313 N 13th Ave,Walla Walla,99362-8817,Region X,Non-Rural,-118.356481,46.077905
6139991310,Metro Correctional Institution,Correctional Facility,0,GA,Withdrawn,5/27/1994,11/3/2011,11/3/2011,,Metropolitan,,,0.7,,,,,,Region IV,Unknown,-83.4445344,32.64832455
6126733273,Federal Correctional Institution - Marianna,Correctional Facility,12,FL,Proposed For Withdrawal,6/24/1994,12/28/2018,,Jackson County,Unknown,,12,1.53,2288,,3625 Fci Rd,Marianna,32446,Region IV,Rural,-85.18825253,30.828303
6428377129,Federal Correctional Institution - Schuylkill,Correctional Facility,12,PA,Proposed For Withdrawal,6/24/1994,12/28/2018,,Schuylkill County,Unknown,,12,1.54,2313,,INTERSTATE 81 AND RO,Minersville,17954,Region III,Rural,-76.26050999,40.68897
6019990110,Federal Correctional Institution - Talladega,Correctional Facility,12,AL,Proposed For Withdrawal,6/24/1994,12/28/2018,,Talladega County,Unknown,,1.4,1.33,1999,,565 E Renfroe Rd,Talladega,35160-4811,Region IV,Rural,-86.14319193,33.42484154
6427169126,USP-Lewisburg,Correctional Facility,12,PA,Proposed For Withdrawal,6/24/1994,12/28/2018,,Union County,Unknown,,12,1.7,2547,,2400 Robert F Miller Dr,Lewisburg,17837-6850,Region III,Rural,-76.91486929,40.98495587
6131149657,Federal Correctional Institution - Jesup,Correctional Facility,12,GA,Proposed For Withdrawal,6/24/1994,12/28/2018,,Wayne County,Unknown,,12,1.78,2666,,2600 S US Highway 301,Jesup,31599-5676,Region IV,Rural,-81.89043473,31.56325214
6519995118,Federal Correctional Institution - Petersburg,Correctional Facility,0,VA,Withdrawn,6/24/1994,9/15/2000,9/15/2000,,Metropolitan,,4.2,4.2,,,,,,Region III,Unknown,-78.69794871,37.5128205
6479994705,South Central Correctional Center .,Correctional Facility,0,TN,Withdrawn,8/26/1994,9/15/2000,9/15/2000,,Non-Metropolitan,,0.2,0.2,,,,,,Region IV,Unknown,-86.34305117,35.84300269
6489994828,Federal Correctional Institution - Bastrop,Correctional Facility,15,TX,Proposed For Withdrawal,12/13/1994,12/28/2018,,Bastrop County,Unknown,,1,0.86,1289,,1341 State Highway 95,Bastrop,78602-2630,Region VI,Non-Rural,-97.31507048,30.1865505
6376695111,Federal Correctional Complex-Butner,Correctional Facility,15,NC,Proposed For Withdrawal,12/13/1994,12/28/2018,,Granville County,Unknown,,12,19.62,29428,,2 Old 75 Hwy,Butner,27509-1632,Region IV,Rural,-78.79940014,36.1381834
6219992111,Federal Correctional Institution - Ashland,Correctional Facility,12,KY,Proposed For Withdrawal,12/13/1994,12/28/2018,,Boyd County,Unknown,,1,0.85,1273,,State Route 716,Ashland,41102,Region IV,Non-Rural,-82.7028465,38.43772967
6136456944,USP-Atlanta,Correctional Facility,12,GA,Proposed For Withdrawal,12/13/1994,12/28/2018,,Fulton County,Unknown,,12,12.85,19278,,601 Mcdonough Blvd SE,Atlanta,30315-4400,Region IV,Non-Rural,-84.3682441,33.71364554
6428517523,Federal Correctional Complex-Allenwood,Correctional Facility,12,PA,Proposed For Withdrawal,12/13/1994,12/28/2018,,Union County,Unknown,,12,5.79,8681,,US Route 15,Allenwood,17810,Region III,Rural,-76.89265643,41.10142743
6429994264,USP Allenwood,Correctional Facility,0,PA,Withdrawn,12/13/1994,2/27/2007,2/27/2007,,Non-Metropolitan,,,0,,,,,,Region III,Unknown,-77.83875077,40.89651165
617999175N,Southern IL Regional Wellness Center,Federally Qualified Health Center Look A Like,0,IL,Designated,12/19/1994,12/19/1994,,St. Clair County,Metropolitan,,,0,,,100 N 8th St Ste 232,East Saint Louis,62201-2989,Region V,Non-Rural,-90.1576423,38.62222422
6489994833,Garza West and East Units,Correctional Facility,0,TX,Withdrawn,4/26/1995,9/15/2000,9/15/2000,,Metropolitan,,5,5,,,,,,Region VI,Unknown,-99.33305008,31.46273304
6489994834,Bexar County State Jail,Correctional Facility,0,TX,Withdrawn,5/1/1995,9/15/2000,9/15/2000,,Metropolitan,,1.2,1.2,,,,,,Region VI,Unknown,-99.33305008,31.46273304
6229992215,LA State Pen - Angola,Correctional Facility,0,LA,Withdrawn,6/16/1995,9/15/2000,9/15/2000,,Non-Metropolitan,,0.4,0.4,,,,,,Region VI,Unknown,-91.42641999,30.18584616
6209252240,USP-Leavenworth,Correctional Facility,12,KS,Proposed For Withdrawal,6/19/1995,12/28/2018,,Leavenworth County,Unknown,,12,2.19,3278,,1300 Metropolitan Ave,Leavenworth,66048-1254,Region VII,Rural,-94.93495228,39.32776448
606999060C,Federal Correctional Institution - Terminal Island,Correctional Facility,12,CA,Proposed For Withdrawal,6/19/1995,12/28/2018,,Los Angeles County,Unknown,,1,0.73,1091,,1299 S Seaside Ave,San Pedro,90731-7359,Region IX,Non-Rural,-118.2687563,33.72951272
6425444843,Federal Correctional Institution - McKean,Correctional Facility,12,PA,Proposed For Withdrawal,6/19/1995,12/28/2018,,McKean County,Unknown,,12,1.42,2137,,6975 Route 59,Lewis Run,16738,Region III,Rural,-78.68904235,41.7938846
6061810371,Federal Correctional Complex-Lompoc,Correctional Facility,12,CA,Proposed For Withdrawal,6/19/1995,12/28/2018,,Santa Barbara County,Unknown,,12,3.24,4856,,3901 Klein Blvd,Lompoc,93436-2706,Region IX,Non-Rural,-120.505631,34.67635973
6229992217,Federal Correctional Complex - Oakdale,Correctional Facility,18,LA,Proposed For Withdrawal,7/18/1995,12/28/2018,,Allen Parish,Unknown,,1,1.6,2392,,1507 E Whatley Rd,Oakdale,71463-2318,Region VI,Rural,-92.62871155,30.83218695
6457341145,Federal Correctional Institution - Estill,Correctional Facility,18,SC,Proposed For Withdrawal,7/18/1995,12/28/2018,,Hampton County,Unknown,,12,1.32,1985,,100 Prison Rd,Estill,29918,Region IV,Rural,-81.25068067,32.713656
6557600999,Federal Correctional Institution - Oxford,Correctional Facility,12,WI,Proposed For Withdrawal,7/18/1995,12/28/2018,,Adams County,Unknown,,12,1.67,2503,,350 Elk Ave,Oxford,53952-9611,Region V,Rural,-89.6450318,43.86172046
6218189939,Federal Correctional Institution - Manchester,Correctional Facility,12,KY,Proposed For Withdrawal,7/18/1995,12/28/2018,,Clay County,Unknown,,12,1.41,2119,,805 Fox Hollow Rd,Manchester,40962-7923,Region IV,Rural,-83.78749204,37.18163596
6348900958,Federal Correctional Institution - Fairton,Correctional Facility,12,NJ,Proposed For Withdrawal,7/18/1995,12/28/2018,,Cumberland County,Unknown,,12,5.73,8592,,655 Fairton Millville Rd,Fairton,08320-2000,Region II,Rural,-75.21691399,39.380469
6089990809,Federal Correctional Complex - Florence,Correctional Facility,12,CO,Proposed For Withdrawal,7/18/1995,12/28/2018,,Fremont County,Unknown,,1,2.14,3216,,5880 Highway 67 S,Florence,81290-1000,Region VIII,Rural,-105.107127,38.36071195
6046458449,Federal Correctional Institution - Phoenix,Correctional Facility,12,AZ,Proposed For Withdrawal,7/18/1995,12/28/2018,,Maricopa County,Unknown,,12,1.98,2963,,37900 N 45th Ave,Phoenix,85086-7008,Region IX,Non-Rural,-112.1561911,33.87221323
6478958211,Federal Correctional Institution - Memphis,Correctional Facility,12,TN,Proposed For Withdrawal,7/18/1995,12/28/2018,,Shelby County,Unknown,,12,1.86,2787,,1101 John A Denie Rd,Memphis,38134-7630,Region IV,Non-Rural,-89.86423887,35.15547839
6176056307,USP-Marion,Correctional Facility,12,IL,Proposed For Withdrawal,7/18/1995,12/28/2018,,Williamson County,Unknown,,12,1.69,2532,,4500 Prison Rd,Marion,62959-9011,Region V,Non-Rural,-88.98750559,37.6613224
6406117551,Federal Correctional Institution - El Reno,Correctional Facility,6,OK,Proposed For Withdrawal,7/18/1995,12/28/2018,,Canadian County,Unknown,,6,0.81,2419,,4205 E Highway 66,El Reno,73036-9701,Region VI,Non-Rural,-97.91157025,35.50806722
6089990810,USP Florence,Correctional Facility,0,CO,Withdrawn,7/18/1995,2/27/2007,2/27/2007,,Non-Metropolitan,,,0,,,,,,Region VIII,Unknown,-105.5478164,38.99855056
6089990808,Federal Correctional Institution - Englewood,Correctional Facility,0,CO,Withdrawn,7/18/1995,2/27/2007,2/27/2007,,Metropolitan,,,0,,,,,,Region VIII,Unknown,-105.5478164,38.99855056
6229992219,Elayn Hunt Correctional Center,Correctional Facility,0,LA,Withdrawn,8/29/1995,9/15/2000,9/15/2000,,Non-Metropolitan,,0.7,0.7,,,,,,Region VI,Unknown,-91.42641999,30.18584616
6479994710,Woods Clinic,Other Facility,0,TN,Withdrawn,9/3/1997,11/3/2011,11/3/2011,,Metropolitan,,,0,,,,,,Region IV,Unknown,-86.34305117,35.84300269
6481504942,Federal Correctional Institution - Three Rivers,Correctional Facility,15,TX,Proposed For Withdrawal,9/12/1997,12/28/2018,,Live Oak County,Unknown,,12,1.55,2327,,TX-72 W,Three Rivers,78071,Region VI,Rural,-98.14319225,28.48900918
6089990814,Florence Admax USP,Correctional Facility,0,CO,Withdrawn,9/12/1997,2/27/2007,2/27/2007,,Non-Metropolitan,,,0,,,,,,Region VIII,Unknown,-105.5478164,38.99855056
6489994838,Federal Correctional Institution - Seagoville,Correctional Facility,12,TX,Proposed For Withdrawal,9/17/1997,12/28/2018,,Dallas County,Unknown,,1,1.24,1861,,2113 N Highway 175,Seagoville,75159-2237,Region VI,Non-Rural,-96.56537274,32.65783176
6247575772,Federal Correctional Institution - Cumberland,Correctional Facility,12,MD,Proposed For Withdrawal,9/18/1997,12/28/2018,,Allegany County,Unknown,,12,1.67,2511,,14601 Burbridge Rd SE,Cumberland,21502-8724,Region III,Non-Rural,-78.75301199,39.59685778
6129991241,Federal Correctional Institution - Miami,Correctional Facility,12,FL,Proposed For Withdrawal,9/23/1997,12/28/2018,,Miami-Dade County,Unknown,,1,0.75,1127,,15801 SW 137th Ave,Miami,33177-1209,Region IV,Non-Rural,-80.41441599,25.62003652
6129991240,Federal Correctional Complex Coleman,Correctional Facility,0,FL,Withdrawn,9/23/1997,2/27/2007,2/27/2007,,Non-Metropolitan,,,0,,,,,,Region IV,Unknown,-81.68864878,28.56604489
6042972918,Federal Correctional Complex-Tucson,Correctional Facility,12,AZ,Proposed For Withdrawal,9/24/1997,12/28/2018,,Pima County,Unknown,,12,4.51,6766,,9300 S Wilmot Rd,Tucson,85756-9706,Region IX,Non-Rural,-110.8579934,32.08303281
6177203544,Federal Correctional Institution - Pekin,Correctional Facility,18,IL,Proposed For Withdrawal,9/30/1997,12/28/2018,,Tazewell County,Unknown,,12,1.47,2206,,2600 S 2nd St,Pekin,61554-8297,Region V,Non-Rural,-89.66448432,40.53460241
6179991727,Federal Correctional Institution - Greenville,Correctional Facility,15,IL,Proposed For Withdrawal,9/30/1997,12/28/2018,,Bond County,Unknown,,1,1.6,2403,,US-40,Greenville,62246,Region V,Non-Rural,-89.4027441,38.8741839
6549483444,Federal Correctional Institution - Beckley,Correctional Facility,12,WV,Proposed For Withdrawal,9/30/1997,12/28/2018,,Raleigh County,Unknown,,12,2.48,3714,,1600 Industrial Park Rd,Beaver,25813-9529,Region III,Non-Rural,-81.12480854,37.80717511
6185383562,Federal Correctional Institution - Terre Haute,Correctional Facility,12,IN,Proposed For Withdrawal,9/30/1997,12/28/2018,,Vigo County,Unknown,,12,6.28,9424,,4700 Bureau Rd N,Terre Haute,47802-8246,Region V,Non-Rural,-87.45122361,39.4127855
626999261A,Kalamazoo County Dental Office,Other Facility,0,MI,Withdrawn,9/30/1997,6/29/2012,6/29/2012,Kalamazoo County,Metropolitan,,,0,,,2410 E G Ave,Kalamazoo,49004-1943,Region V,Non-Rural,-85.55053049,42.33269151
6049990436,Maricopa County Jails,Correctional Facility,0,AZ,Withdrawn,10/28/1997,11/3/2011,11/3/2011,,Metropolitan,,,7.2,,,,,,Region IX,Unknown,-111.664754,34.29301645
6249992420,Health Care for the Homeless Facility,Other Facility,0,MD,Withdrawn,12/2/1997,2/22/2012,2/22/2012,Baltimore City,Metropolitan,,,0,,,421 Fallsway,Baltimore,21202-4800,Region III,Non-Rural,-76.60876992,39.29308563
6369993659,Federal Correctional Institution - Raybrook,Correctional Facility,0,NY,Withdrawn,2/6/1998,2/27/2007,2/27/2007,,Non-Metropolitan,,,0,,,,,,Region II,Unknown,-75.61070144,42.93708397
6419883509,Federal Correctional Institution - Sheridan,Correctional Facility,12,OR,Proposed For Withdrawal,3/31/1998,12/28/2018,,Yamhill County,Unknown,,12,4.01,6016,,27072 SW Ballston Rd,Sheridan,97378-9620,Region X,Rural,-123.395601,45.08399348
6279123222,Federal Medical Center-Rochester,Correctional Facility,12,MN,Proposed For Withdrawal,5/8/1998,12/28/2018,,Olmsted County,Unknown,,12,1.79,2688,,2110 E Center St,Rochester,55904-4754,Region V,Non-Rural,-92.4394021,44.0233269
6239992329,Dorothea Dix Psychiatric Center,Other Facility,17,ME,Proposed For Withdrawal,6/9/1998,12/28/2018,,Penobscot County,Unknown,,,0,,,656 State St,Bangor,04401-5609,Region I,Non-Rural,-68.74330616,44.81175215
6239992328,Riverview Psychiatric Center,Other Facility,0,ME,Withdrawn,6/9/1998,6/29/2012,6/29/2012,Kennebec County,Non-Metropolitan,,,0,,,250 Arsenal St,Augusta,04330-5742,Region I,Rural,-69.76949579,44.30053372
6131099534,Coastal State Prison,Correctional Facility,6,GA,Designated,9/30/1998,8/9/2018,,Chatham County,Unknown,,6,1.69,3734,,200 Gulfstream Rd,Savannah,31408-9677,Region IV,Non-Rural,-81.19076211,32.1425328
6449994410,Thundermist Health Center of South County,Other Facility,0,RI,Withdrawn,2/10/1999,10/26/2002,10/26/2002,,Metropolitan,,,0,,,,,,Region I,Unknown,-71.45431946,41.48871294
6121808296,Jefferson Correctional Institution,Correctional Facility,15,FL,Designated,3/12/1999,12/31/2018,,Jefferson County,Unknown,,6,0.96,2635,,1050 Big Joe Rd,Monticello,32344-5188,Region IV,Non-Rural,-83.79737595,30.5073583
6129991272,Liberty Correctional Institution,Correctional Facility,15,FL,Proposed For Withdrawal,3/12/1999,12/28/2018,,Liberty County,Unknown,,1.3,3.49,6580,,11064 NW Dempsey Barron Rd,Bristol,32321-2622,Region IV,Rural,-84.86624644,30.46451628
6129991253,Columbia Correctional Institution,Correctional Facility,12,FL,Proposed For Withdrawal,3/12/1999,12/28/2018,,Columbia County,Unknown,,3,0.3,2392,,216 SE Corrections Way,Lake City,32025-2013,Region IV,Rural,-82.50247127,30.19335156
6125922751,Gulf Correctional Institution,Correctional Facility,12,FL,Designated,3/12/1999,8/2/2018,,Gulf County,Unknown,,12,4.65,6977,,500 Ike Steele Rd,Wewahitchka,32465-2428,Region IV,Non-Rural,-85.26171643,30.17174865
6128088996,Avon Park Correctional Institution,Correctional Facility,12,FL,Designated,3/12/1999,7/6/2018,,Highlands County,Unknown,,12,1.39,2079,,8100 County Road 64 E,Avon Park,33825-6801,Region IV,Non-Rural,-81.40365591,27.64639176
6124898242,Jackson Correctional Institution,Correctional Facility,12,FL,Designated,3/12/1999,8/2/2018,,Jackson County,Unknown,,12,2.32,3484,,5563 10th St,Malone,32445-3129,Region IV,Rural,-85.1632397,30.96954667
6129860972,Mayo Correctional Institution,Correctional Facility,12,FL,Designated,3/12/1999,7/6/2018,,Lafayette County,Unknown,,12,2.16,3240,,8784 W US 27,Mayo,32066-3458,Region IV,Rural,-83.31084813,30.12921401
6121511274,Santa Rosa Correctional Institution,Correctional Facility,12,FL,Designated,3/12/1999,9/27/2018,,Santa Rosa County,Unknown,,12,1.83,2742,,5850 E Milton Rd,Milton,32583-7914,Region IV,Non-Rural,-86.97200768,30.6434941
6121515896,CF - Tomoka,Correctional Facility,12,FL,Designated,3/12/1999,10/19/2018,,Volusia County,Unknown,,12,2.56,3843,,3950 Tiger Bay Rd,Daytona Beach,32124-1042,Region IV,Non-Rural,-81.15950193,29.15515556
6128319797,Walton Correctional Institution,Correctional Facility,12,FL,Designated,3/12/1999,10/19/2018,,Walton County,Unknown,,12,1.69,2542,,691 Institution Rd,Defuniak Springs,32433-1850,Region IV,Rural,-86.10640732,30.77510506
6127425668,Desoto Correctional Institution,Correctional Facility,6,FL,Designated,3/12/1999,7/6/2018,,DeSoto County,Unknown,,6,0.62,1835,,13617 SE Highway 70,Arcadia,34266-7800,Region IV,Rural,-81.66262805,27.20941982
6129991264,Holmes Correctional Institution,Correctional Facility,6,FL,Proposed For Withdrawal,3/12/1999,12/28/2018,,Holmes County,Unknown,,1,1.25,3080,,3142 Thomas Dr,Bonifay,32425-4238,Region IV,Rural,-85.67439665,30.75890708
6129991271,Lake Correctional Institution,Correctional Facility,6,FL,Proposed For Withdrawal,3/12/1999,12/28/2018,,Lake County,Unknown,,1.6,1.19,1970,,19225 US Highway 27,Clermont,34715-9025,Region IV,Non-Rural,-81.7681504,28.62867718
